open,high,low,close,pre_close,change,pct_chg,vol,amount,close_index,open_index,high_index,low_index,change_index,pct_chg_index,vol_index,amount_index
18.33,18.33,17.26,17.3,18.49,-1.19,-6.4359,251922.92,445600.65,3267.1916,3368.043,3372.0034,3267.1916,-103.2123,-3.0623,630687790,707626460.3
17.45,18.74,17.1,18.49,17.3,1.19,6.8786,384869.42,697567.753,3370.4039,3362.9444,3378.5175,3348.8552,2.4146,0.0717,530331830,614517433.7
16.83,17.33,16.68,17.3,17,0.3,1.7647,211573.59,361835.563,3367.9893,3337.6778,3375.2482,3333.0023,21.9795,0.6569,566154289,627858323.2
17.22,17.29,16.26,17,17.19,-0.19,-1.1053,252010.4,422314.042,3346.0098,3324.8831,3346.7577,3284.133,22.1612,0.6667,625024151,651575376.3
16.62,17.49,15.39,17.19,16.73,0.46,2.7496,326592.66,529498.794,3323.8486,3344.6904,3386.9031,3309.0076,-6.8777,-0.2065,743950692,755809644.5
17.14,17.59,16.7,16.73,17.26,-0.53,-3.0707,204741.16,352471.683,3330.7263,3369.8092,3391.3204,3330.7263,-49.1126,-1.4531,630285583,745937122.4
17.61,18.2,17.24,17.26,18.07,-0.81,-4.4826,242145.37,426865.997,3379.8389,3429.5054,3441.7746,3376.1528,-59.4389,-1.7282,631556690,762884198.8
18.95,18.95,17.6,18.07,19.48,-1.41,-7.2382,348838.61,632470.886,3439.2778,3406.9164,3442.2983,3404.5254,17.3077,0.5058,673662348,829435317
19.42,19.65,19.17,19.48,19.26,0.22,1.1423,308997.82,597815.249,3421.9701,3469.8908,3489.4244,3402.0422,-48.0956,-1.386,817926524,1039600859
19.06,19.6,18.6,19.26,20.04,-0.78,-3.8922,427468.8,814996.107,3470.0657,3432.3672,3471.1222,3416.7266,17.7686,0.5147,818025436,1024334900
18.97,22,18.97,20.04,21.08,-1.04,-4.9336,684091.86,1364054.915,3452.2971,3502.1331,3509.8182,3443.193,-18.3638,-0.5291,964034562,1107932296
21.55,21.8,21.08,21.08,23.42,-2.34,-9.9915,208781,443230.532,3470.6609,3359.9851,3470.6609,3356.258,86.8547,2.5668,959556680,1048841306
21.55,23.42,20.2,23.42,21.29,2.13,10.0047,847602.6,1907682.619,3383.8062,3395.2217,3420.9986,3367.0812,-3.1807,-0.0939,895855930,1026807640
